0.000000 31.000000
3.858E-7 13.755134 37.955364
3.858E-7 13.755198 37.955387
3.858E-7 13.755258 37.955406
3.858E-7 13.755306 37.955418
3.858E-7 13.755350 37.955429
3.858E-7 13.755387 37.955441
3.858E-7 13.755423 37.955448
3.858E-7 13.755454 37.955456
3.858E-7 13.755486 37.955463
3.858E-7 13.755523 37.955471
3.858E-7 13.755570 37.955486
3.858E-7 13.755636 37.955509
3.858E-7 13.755709 37.955544
3.858E-7 13.755759 37.955620
3.858E-7 13.755838 37.955742
3.858E-7 13.755842 37.955879
3.858E-7 13.755695 37.956177
3.858E-7 13.755563 37.956703
3.858E-7 13.755209 37.957603
3.858E-7 13.754641 37.959030
3.858E-7 13.753719 37.961922
3.858E-7 13.744625 37.975582
3.858E-7 13.706014 38.022663
3.858E-7 13.668427 38.100510
3.858E-7 13.660045 38.220169
3.858E-7 13.669550 38.339214
3.858E-7 13.736685 38.458897
3.858E-7 13.859699 38.566254
3.858E-7 13.944887 38.638229
3.858E-7 13.938519 38.666698
3.858E-7 13.853191 38.665733
3.858E-7 13.703698 38.645779
3.858E-7 13.520092 38.612190
3.858E-7 13.356291 38.575562
3.858E-7 13.176896 38.531734
3.858E-7 13.022368 38.493153
3.858E-7 12.919518 38.467846
3.858E-7 12.858915 38.453587
3.858E-7 12.821899 38.445442
3.858E-7 12.796864 38.440617
3.858E-7 12.787673 38.439701
3.858E-7 0.000000 0.000000
31.000000 59.000000
3.858E-7 13.262348 38.002480
3.858E-7 13.262406 38.002499
3.858E-7 13.262461 38.002510
3.858E-7 13.262507 38.002529
3.858E-7 13.262551 38.002544
3.858E-7 13.262583 38.002556
3.858E-7 13.262618 38.002575
3.858E-7 13.262653 38.002602
3.858E-7 13.262699 38.002651
3.858E-7 13.262676 38.002750
3.858E-7 13.262578 38.002884
3.858E-7 13.262423 38.003056
3.858E-7 13.262178 38.003277
3.858E-7 13.261948 38.003532
3.858E-7 13.261703 38.003868
3.858E-7 13.261625 38.004379
3.858E-7 13.261556 38.005001
3.858E-7 13.261418 38.006046
3.858E-7 13.261402 38.007622
3.858E-7 13.261353 38.009861
3.858E-7 13.261877 38.012978
3.858E-7 13.263752 38.017757
3.858E-7 13.270431 38.029743
3.858E-7 13.300663 38.078873
3.858E-7 13.390711 38.171219
3.858E-7 13.536735 38.298809
3.858E-7 13.743612 38.451302
3.858E-7 13.905890 38.576683
3.858E-7 13.971399 38.641045
3.858E-7 13.964615 38.669609
3.858E-7 13.880136 38.669647
3.858E-7 13.727092 38.650051
3.858E-7 13.541055 38.616692
3.858E-7 13.377696 38.580750
3.858E-7 13.195072 38.536278
3.858E-7 13.034459 38.496155
3.858E-7 12.925692 38.469322
3.858E-7 12.861814 38.454231
3.858E-7 12.823532 38.445774
3.858E-7 12.797596 38.440735
3.858E-7 12.787719 38.439655
3.858E-7 0.000000 0.000000
59.000000 90.000000
3.858E-7 13.332236 38.003067
3.858E-7 13.331148 38.003139
3.858E-7 13.325535 38.003300
3.858E-7 13.318560 38.003513
3.858E-7 13.311346 38.003761
3.858E-7 13.304276 38.004105
3.858E-7 13.296993 38.004337
3.858E-7 13.290273 38.004555
3.858E-7 13.284290 38.004784
3.858E-7 13.277948 38.005116
3.858E-7 13.271967 38.005440
3.858E-7 13.264888 38.005768
3.858E-7 13.257046 38.006100
3.858E-7 13.247947 38.006638
3.858E-7 13.235260 38.007511
3.858E-7 13.218578 38.009079
3.858E-7 13.202917 38.011173
3.858E-7 13.188910 38.013618
3.858E-7 13.177195 38.016685
3.858E-7 13.167419 38.020988
3.858E-7 13.160334 38.027935
3.858E-7 13.156988 38.040520
3.858E-7 13.162384 38.064659
3.858E-7 13.197643 38.114136
3.858E-7 13.298904 38.202892
3.858E-7 13.439035 38.315971
3.858E-7 13.604984 38.432983
3.858E-7 13.856581 38.569534
3.858E-7 13.976648 38.647678
3.858E-7 13.963116 38.671719
3.858E-7 13.872453 38.669518
3.858E-7 13.714350 38.648083
3.858E-7 13.525198 38.613609
3.858E-7 13.367309 38.578323
3.858E-7 13.186446 38.534145
3.858E-7 13.028636 38.494705
3.858E-7 12.921910 38.468407
3.858E-7 12.859430 38.453682
3.858E-7 12.821919 38.445438
3.858E-7 12.796815 38.440586
3.858E-7 12.787340 38.439590
3.858E-7 0.000000 0.000000
90.000000 120.000000
3.858E-7 14.632053 37.936897
3.858E-7 14.598771 37.937054
3.858E-7 14.541487 37.937447
3.858E-7 14.477839 37.937222
3.858E-7 14.411467 37.937069
3.858E-7 14.336439 37.937302
3.858E-7 14.254501 37.938221
3.858E-7 14.171278 37.940186
3.858E-7 14.096575 37.941566
3.858E-7 14.020562 37.942722
3.858E-7 13.940116 37.944359
3.858E-7 13.856049 37.947182
3.858E-7 13.756211 37.950756
3.858E-7 13.661866 37.954628
3.858E-7 13.578022 37.958797
3.858E-7 13.511601 37.963573
3.858E-7 13.451463 37.968113
3.858E-7 13.398595 37.974075
3.858E-7 13.347393 37.983833
3.858E-7 13.295838 38.001026
3.858E-7 13.257910 38.026466
3.858E-7 13.238150 38.061886
